date,datetime,cash_type,card,money,coffee_name,money_original,coffee_count,money_scaled,coffee_count_scaled,cluster,money_inverse,coffee_count_original,coffee_inverse,coffe_inverse
2024-03-01,2024-03-01 12:19:22.539,0,1,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-01,2024-03-01 12:20:18.089,0,1,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-01,2024-03-01 13:46:33.006,0,2,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-01,2024-03-01 15:39:47.726,0,4,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-01,2024-03-01 16:19:02.756,0,5,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-01,2024-03-01 18:39:03.580,0,6,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-01,2024-03-01 19:22:01.762,0,7,38.7,Mocha,38.7,207,0.9405850091407679,0.13239875389408098,2,725.855575868373,207,207.0,207.0
2024-03-01,2024-03-01 19:23:15.887,0,7,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-01,2024-03-01 19:29:17.391,0,8,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-02,2024-03-02 10:22:06.957,0,9,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-02,2024-03-02 10:41:41.249,0,10,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-02,2024-03-02 11:59:45.484,0,11,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-02,2024-03-02 14:38:35.535,0,12,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-02,2024-03-02 16:37:24.475,0,13,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-02,2024-03-02 17:34:54.969,0,3,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-03,2024-03-03 11:33:56.118,0,15,28.9,Americano,28.9,289,0.49268738574040216,0.2601246105919003,0,438.3053016453382,289,289.0,289.0
2024-03-03,2024-03-03 12:26:56.098,0,11,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-03,2024-03-03 13:09:36.321,0,16,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-03,2024-03-03 17:06:40.271,0,17,38.7,Mocha,38.7,207,0.9405850091407679,0.13239875389408098,2,725.855575868373,207,207.0,207.0
2024-03-03,2024-03-03 17:08:45.895,0,18,28.9,Americano,28.9,289,0.49268738574040216,0.2601246105919003,0,438.3053016453382,289,289.0,289.0
2024-03-03,2024-03-03 18:03:23.369,0,19,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-03,2024-03-03 18:04:27.946,0,19,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-03,2024-03-03 18:08:04.959,0,19,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-04,2024-03-04 11:05:16.184,0,11,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-04,2024-03-04 14:04:37.734,0,21,24.0,Macchiato,24.0,122,0.2687385740402193,0.0,0,294.5301645338208,122,122.0,122.0
2024-03-05,2024-03-05 17:35:25.021,0,24,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-05,2024-03-05 17:36:28.571,0,25,38.7,Mocha,38.7,207,0.9405850091407679,0.13239875389408098,2,725.855575868373,207,207.0,207.0
2024-03-05,2024-03-05 17:37:13.659,0,26,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-05,2024-03-05 17:38:09.354,0,8,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-05,2024-03-05 17:56:15.776,0,27,28.9,Americano,28.9,289,0.49268738574040216,0.2601246105919003,0,438.3053016453382,289,289.0,289.0
2024-03-05,2024-03-05 18:01:31.242,0,27,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-06,2024-03-06 12:30:27.089,1,11,35.0,Cappuccino,35.0,764,0.7714808043875685,0.9999999999999999,1,617.290676416819,764,764.0,764.0
2024-03-06,2024-03-06 13:24:07.667,0,11,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-06,2024-03-06 13:25:14.351,0,11,28.9,Americano,28.9,289,0.49268738574040216,0.2601246105919003,0,438.3053016453382,289,289.0,289.0
2024-03-06,2024-03-06 14:52:01.761,0,28,38.7,Latte,38.7,452,0.9405850091407679,0.514018691588785,2,725.855575868373,452,452.0,452.0
2024-03-06,2024-03-06 14:53:18.344,0,28,38.7,Latte,38.7,452,0.9405850091407679,0.514018691588785,2,725.855575868373,452,452.0,452.0
2024-03-07,2024-03-07 10:18:40.543,0,29,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-07,2024-03-07 15:40:22.606,0,31,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-07,2024-03-07 15:41:28.784,0,32,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-08,2024-03-08 10:34:41.283,0,11,28.9,Americano,28.9,289,0.49268738574040216,0.2601246105919003,0,438.3053016453382,289,289.0,289.0
2024-03-08,2024-03-08 12:22:28.653,0,33,38.7,Latte,38.7,452,0.9405850091407679,0.514018691588785,2,725.855575868373,452,452.0,452.0
2024-03-08,2024-03-08 13:53:02.042,0,34,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-08,2024-03-08 14:44:12.686,0,11,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-08,2024-03-08 14:45:11.048,0,32,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-08,2024-03-08 14:46:11.155,0,11,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-09,2024-03-09 11:49:37.292,1,11,40.0,Affogato,40.0,256,1.0,0.2087227414330218,2,764.0,256,256.0,256.0
2024-03-09,2024-03-09 12:05:15.559,0,37,24.0,Macchiato,24.0,122,0.2687385740402193,0.0,0,294.5301645338208,122,122.0,122.0
2024-03-09,2024-03-09 12:07:38.275,0,38,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-09,2024-03-09 12:09:47.714,0,11,38.7,Latte,38.7,452,0.9405850091407679,0.514018691588785,2,725.855575868373,452,452.0,452.0
2024-03-09,2024-03-09 12:13:03.521,0,39,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-09,2024-03-09 12:14:26.458,0,39,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-09,2024-03-09 13:41:06.167,0,41,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-09,2024-03-09 13:53:10.408,0,42,28.9,Americano,28.9,289,0.49268738574040216,0.2601246105919003,0,438.3053016453382,289,289.0,289.0
2024-03-09,2024-03-09 13:54:36.828,0,42,38.7,Latte,38.7,452,0.9405850091407679,0.514018691588785,2,725.855575868373,452,452.0,452.0
2024-03-09,2024-03-09 14:08:01.829,0,8,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-09,2024-03-09 14:26:52.873,0,43,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-09,2024-03-09 19:17:57.572,0,8,38.7,Latte,38.7,452,0.9405850091407679,0.514018691588785,2,725.855575868373,452,452.0,452.0
2024-03-09,2024-03-09 19:19:10.084,0,8,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-10,2024-03-10 07:44:18.538,1,11,30.0,Espresso,30.0,459,0.542961608775137,0.5249221183800623,0,470.581352833638,459,459.0,459.0
2024-03-10,2024-03-10 07:45:29.441,1,11,35.0,Cappuccino,35.0,764,0.7714808043875685,0.9999999999999999,1,617.290676416819,764,764.0,764.0
2024-03-10,2024-03-10 11:19:20.764,0,44,24.0,Macchiato,24.0,122,0.2687385740402193,0.0,0,294.5301645338208,122,122.0,122.0
2024-03-10,2024-03-10 17:51:03.048,1,11,35.0,Cappuccino,35.0,764,0.7714808043875685,0.9999999999999999,1,617.290676416819,764,764.0,764.0
2024-03-10,2024-03-10 19:35:54.712,0,45,28.9,Americano,28.9,289,0.49268738574040216,0.2601246105919003,0,438.3053016453382,289,289.0,289.0
2024-03-11,2024-03-11 11:24:15.022,1,11,40.0,Latte,40.0,452,1.0,0.514018691588785,2,764.0,452,452.0,452.0
2024-03-11,2024-03-11 11:24:51.565,1,11,30.0,Americano,30.0,289,0.542961608775137,0.2601246105919003,0,470.581352833638,289,289.0,289.0
2024-03-11,2024-03-11 11:26:44.221,1,11,30.0,Espresso,30.0,459,0.542961608775137,0.5249221183800623,0,470.581352833638,459,459.0,459.0
2024-03-11,2024-03-11 11:32:58.781,0,34,38.7,Latte,38.7,452,0.9405850091407679,0.514018691588785,2,725.855575868373,452,452.0,452.0
2024-03-11,2024-03-11 16:24:26.401,0,46,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-11,2024-03-11 16:50:49.608,0,47,28.9,Americano,28.9,289,0.49268738574040216,0.2601246105919003,0,438.3053016453382,289,289.0,289.0
2024-03-12,2024-03-12 10:15:34.543,0,32,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-12,2024-03-12 10:16:24.886,0,32,28.9,Americano,28.9,289,0.49268738574040216,0.2601246105919003,0,438.3053016453382,289,289.0,289.0
2024-03-12,2024-03-12 11:20:45.632,0,48,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-12,2024-03-12 12:46:23.275,0,3,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-12,2024-03-12 12:47:26.027,0,3,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-12,2024-03-12 16:15:43.325,0,49,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-13,2024-03-13 11:06:43.038,0,47,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-13,2024-03-13 11:48:16.753,0,3,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-13,2024-03-13 12:18:06.336,0,50,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-13,2024-03-13 12:19:05.128,0,50,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-13,2024-03-13 12:34:30.315,1,11,25.0,Macchiato,25.0,122,0.3144424131627057,0.0,0,323.8720292504571,122,122.0,122.0
2024-03-13,2024-03-13 14:26:40.875,0,51,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-13,2024-03-13 15:40:22.261,0,52,24.0,Macchiato,24.0,122,0.2687385740402193,0.0,0,294.5301645338208,122,122.0,122.0
2024-03-13,2024-03-13 15:41:20.424,0,52,24.0,Macchiato,24.0,122,0.2687385740402193,0.0,0,294.5301645338208,122,122.0,122.0
2024-03-13,2024-03-13 16:47:09.373,0,53,24.0,Macchiato,24.0,122,0.2687385740402193,0.0,0,294.5301645338208,122,122.0,122.0
2024-03-14,2024-03-14 10:29:34.283,0,54,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-14,2024-03-14 13:27:29.536,0,11,28.9,Americano,28.9,289,0.49268738574040216,0.2601246105919003,0,438.3053016453382,289,289.0,289.0
2024-03-14,2024-03-14 13:28:24.527,0,11,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-14,2024-03-14 13:51:59.905,0,55,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-14,2024-03-14 13:52:56.248,0,56,24.0,Macchiato,24.0,122,0.2687385740402193,0.0,0,294.5301645338208,122,122.0,122.0
2024-03-14,2024-03-14 16:04:09.506,0,58,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-14,2024-03-14 16:54:38.202,0,49,24.0,Macchiato,24.0,122,0.2687385740402193,0.0,0,294.5301645338208,122,122.0,122.0
2024-03-14,2024-03-14 18:58:55.854,0,18,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-14,2024-03-14 19:00:08.663,0,11,28.9,Americano,28.9,289,0.49268738574040216,0.2601246105919003,0,438.3053016453382,289,289.0,289.0
2024-03-15,2024-03-15 10:53:02.180,0,59,38.7,Affogato,38.7,256,0.9405850091407679,0.2087227414330218,2,725.855575868373,256,256.0,256.0
2024-03-15,2024-03-15 18:19:27.922,0,11,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-16,2024-03-16 12:06:55.209,0,60,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-16,2024-03-16 12:07:53.915,0,60,28.9,Espresso,28.9,459,0.49268738574040216,0.5249221183800623,0,438.3053016453382,459,459.0,459.0
2024-03-16,2024-03-16 15:58:18.458,0,8,28.9,Americano,28.9,289,0.49268738574040216,0.2601246105919003,0,438.3053016453382,289,289.0,289.0
2024-03-16,2024-03-16 16:03:21.738,0,8,28.9,Americano,28.9,289,0.49268738574040216,0.2601246105919003,0,438.3053016453382,289,289.0,289.0
2024-03-16,2024-03-16 16:04:11.444,0,11,28.9,Americano,28.9,289,0.49268738574040216,0.2601246105919003,0,438.3053016453382,289,289.0,289.0
2024-03-16,2024-03-16 17:58:07.241,0,61,33.8,Cappuccino,33.8,764,0.7166361974405848,0.9999999999999999,1,582.0804387568555,764,764.0,764.0
2024-03-17,2024-03-17 12:55:26.065,0,62,28.9,Americano,28.9,289,0.49268738574040216,0.2601246105919003,0,438.3053016453382,289,289.0,289.0
